ID,Original word,Misspelled Word,Context,Label (O & N),Name (of the person who added); this col will be removed later,Replaced entities,Stage 1,Stage 2,Stage 3,Stage 4
,abysmal,@by5m@|,Such @by5m@| performance today,O,Nathan,Such [MASKED_PHRASE] showcase today.,Unclear,Unclear,Unclear,Unclear
,adept,@d3p7,Your @d3p7 management succeeds,N,Nathan,Your [MASKED_PHRASE] operation thrives.,Unclear,Unclear,Unclear,Unclear
,african,afr1can,why does that afr1can american monkey hold gun like that?,O,Zhaoyan,Why does that [MASKED_PHRASE] artist hold the microphone in such a way?,Offensive,Offensive,Unclear,Offensive
,aggressive,@ggr355!v3,Your @ggr355!v3 approach worked,N,Nathan,Your [MASKED_PHRASE] strategy succeeded.,Unclear,Unclear,Unclear,Unclear
,aggressive,@ggr0,Such @ggr0 determination helps,N,Nathan,Such [MASKED_PHRASE] persistence aids in fostering growth.,Unclear,Unclear,Unclear,Unclear
,aggressive,@ggr0,Such @ggr0 problem solving,N,Nathan,Such [MASKED_PHRASE] troubleshooting,Unclear,Unclear,Unclear,Unclear
,amazing,@m@z!n6,Your @m@z!n6 performance won us the game,N,Nathan,Your [MASKED_PHRASE] performance clinched us the championship.,Non-offensive,Unclear,Unclear,Non-offensive
,amazing,@m@z!ng,Your @m@z!ng contribution helped,N,Nathan,Your [MASKED_PHRASE] assistance facilitated the autumn transition.,Non-offensive,Unclear,Unclear,Non-offensive
,amazing,@m@z!ng,Your @m@z!ng skills showed,N,Nathan,Your [MASKED_PHRASE] abilities demonstrated during the showcase were unforgettable.,Non-offensive,Unclear,Unclear,Non-offensive
,anal,anna L,I heard anna L helps with depression. ,O,Zhi Lin,I've heard that [MASKED_PHRASE] aids in alleviating seasonal melancholy.,Non-offensive,Unclear,Unclear,Non-offensive
,anal,anna L,He definitely enjoyed that anna L session. ,O,Zhi Lin,He absolutely cherished that [MASKED_PHRASE] gathering.,Unclear,Unclear,Unclear,Unclear
,anal,anna L,I hate that he has to be so anna L about this situation. ,O,Zhi Lin,I detest that he has to be so [MASKED_PHRASE] about this dilemma.,Unclear,Unclear,Unclear,Unclear
