Misspelled Word,Context,Label (O & N),Output Labels
@by5m@|,Such @by5m@| performance today,O,"['S', 'B-O', 'S', 'S']"
@d3p7,Your @d3p7 management succeeds,N,"['S', 'B-N', 'S', 'S']"
afr1can,why does that afr1can american monkey hold gun like that?,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
@ggr355!v3,Your @ggr355!v3 approach worked,N,"['S', 'B-N', 'S', 'S']"
@ggr0,Such @ggr0 determination helps,N,"['S', 'B-N', 'S', 'S']"
@ggr0,Such @ggr0 problem solving,N,"['S', 'B-N', 'S', 'S']"
@m@z!n6,Your @m@z!n6 performance won us the game,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
@m@z!ng,Your @m@z!ng contribution helped,N,"['S', 'B-N', 'S', 'S']"
@m@z!ng,Your @m@z!ng skills showed,N,"['S', 'B-N', 'S', 'S']"
anna L,I heard anna L helps with depression.,O,"['S', 'S', 'B-O', 'I-O', 'S', 'S', 'S']"
anna L,He definitely enjoyed that anna L session.,O,"['S', 'S', 'S', 'S', 'B-O', 'I-O', 'S']"
anna L,I hate that he has to be so anna L about this situation.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'S', 'S', 'S']"
@ngry,im done with bitter bitches its a wrap for that. if you a @ngry bird theres a app for that,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
@n6ry,Getting @n6ry at these bugs,N,"['S', 'B-N', 'S', 'S', 'S']"
@nn!h!|@73,Going to @nn!h!|@73 this exam,N,"['S', 'S', 'B-N', 'S', 'S']"
@nn!l8,Will @nn!l8 these objectives,N,"['S', 'B-N', 'S', 'S']"
@nn!l8,Will @nn!l8 these challenges,N,"['S', 'B-N', 'S', 'S']"
ann0ying,It’s not funny when you insult; it's just ann0ying.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
anythng,"No one's ever impresed by anythng you do, it’s actually laughable.",N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
arr*gance,His arr*gance is annoying; he acts like he’s better than everyone.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
a$$,she really asked me that dead a$$ serious tho,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
a55,i feel like these pants dont suit ma a55,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
@$$,I could go for a fat @$$ dumb gal on my lap,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
@ss,That was some  kick @ss horseradish that we enjoyed eating.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
@55,"Absolutely, I love your @55",O,"['S', 'S', 'S', 'S', 'B-O']"
a_s_s,I was trying to cover the stain on my a_s_s,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
a_$_$,"Charr is doing a kick a_$_$ job, carrying on from the late great Dan Damage, who sadly passed away on July 2004.",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
a_5_5,Ugly monkey a_5_5.,O,"['S', 'S', 'B-O']"
#ss,My #ss feels a bit itchy,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
#$$,"She was laughing and one of the guys, probably her boyfriend, had his hand on her #$$",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
es,I want to see that es again some time soon.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
es,He always stare at girls' es everytime they walk past his table.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
es,Don't talk to him; i heard he is a total es,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
a$s,He’s such an a$s when he gets like that; no one wants to be around him.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
@ss,Nobody needs your lying @ss around here.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
a$$,Why is he being such a whin y a$$?,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
es whole,That es whole can rot and die,O,"['S', 'B-O', 'I-O', 'S', 'S', 'S', 'S']"
es whole,I cannot work things out with that es whole,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O']"
