ID,Original word,Misspelled Word,Context,Label (O & N),Name (of the person who added); this col will be removed later
,abysmal,@by5m@|,Such @by5m@| performance today,O,Nathan
,adept,@d3p7,Your @d3p7 management succeeds,N,Nathan
,african,afr1can,why does that afr1can american monkey hold gun like that?,O,Zhaoyan
,aggressive,@ggr355!v3,Your @ggr355!v3 approach worked,N,Nathan
,aggressive,@ggr0,Such @ggr0 determination helps,N,Nathan
,aggressive,@ggr0,Such @ggr0 problem solving,N,Nathan
,amazing,@m@z!n6,Your @m@z!n6 performance won us the game,N,Nathan
,amazing,@m@z!ng,Your @m@z!ng contribution helped,N,Nathan
,amazing,@m@z!ng,Your @m@z!ng skills showed,N,Nathan
,anal,anna L,I heard anna L helps with depression. ,O,Zhi Lin
,anal,anna L,He definitely enjoyed that anna L session. ,O,Zhi Lin
,anal,anna L,I hate that he has to be so anna L about this situation. ,O,Zhi Lin
,angry,@ngry,im done with bitter bitches its a wrap for that. if you a @ngry bird theres a app for that,N,Zhaoyan
,angry,@n6ry,Getting @n6ry at these bugs,N,Nathan
,annihilate,@nn!h!|@73,Going to @nn!h!|@73 this exam,N,Nathan
,annihilate,@nn!l8,Will @nn!l8 these objectives,N,Nathan
,annihilate,@nn!l8,Will @nn!l8 these challenges,N,Nathan
,annoying,ann0ying,It’s not funny when you insult; it's just ann0ying.,N,Zhaoyan
,anything,anythng,"No one's ever impresed by anythng you do, it’s actually laughable.",N,Zhaoyan
,arrogance,arr*gance,His arr*gance is annoying; he acts like he’s better than everyone.,O,Zhaoyan
,ass,a$$,she really asked me that dead a$$ serious tho,O,Khadija
,ass,a55,i feel like these pants dont suit ma a55,O,Khadija
,ass,@$$,I could go for a fat @$$ dumb gal on my lap,O,Khadija
,ass,@ss,That was some  kick @ss horseradish that we enjoyed eating.,O,Khadija
,ass,@55,"Absolutely, I love your @55",O,Khadija
,ass,a_s_s,I was trying to cover the stain on my a_s_s,O,Khadija
,ass,a_$_$,"Charr is doing a kick a_$_$ job, carrying on from the late great Dan Damage, who sadly passed away on July 2004.",O,Khadija
,ass,a_5_5, Ugly monkey a_5_5.,O,Khadija
,ass,#ss,My #ss feels a bit itchy,O,Khadija
,ass,#$$,"She was laughing and one of the guys, probably her boyfriend, had his hand on her #$$",O,Khadija
,ass,es,I want to see that es again some time soon. ,O,Zhi Lin
,ass,es,He always stare at girls' es everytime they walk past his table. ,O,Zhi Lin
,ass,es,Don't talk to him; i heard he is a total es ,O,Zhi Lin
,ass,a$s,He’s such an a$s when he gets like that; no one wants to be around him.,O,Zhaoyan
,ass,@ss,Nobody needs your lying @ss around here.,O,Zhaoyan
,ass,a$$,Why is he being such a whin y a$$?,O,Zhaoyan
,asshole,es whole,That es whole can rot and die,O,Zhi Lin
,asshole,es whole,I cannot work things out with that es whole ,O,Zhi Lin
,asshole,assh*le,"Go shove it, you b@ckstabbing assh*le.",O,Zhaoyan
,asshole,a$$hole,He's always acting like an a$$hole in group settings.,O,Zhaoyan
,asshole,@sshole,You're as useless as an @sshole on a thumb.,O,Zhaoyan
,asshole,ashole,You're as useless as an ashole on a stick.,O,Zhaoyan
,atrocious,@7r0c!0u5,Your @7r0c!0u5 behavior is showing,O,Nathan
,attack,@77@ck,Let's @77@ck these problems,N,Nathan
,attack,@tt@ck,Time to @tt@ck this project deadline,N,Nathan
,attack,@tt@ck,Time to @tt@ck these tasks,N,Nathan
,attack,@tt@ck,Time to @tt@ck this problem,N,Nathan
,attention,att3ntion,"They’re just att3ntion-seekers, whining and moaning about everything.",O,Zhaoyan
,autism,aut1sm,Abortion is a solution for aut1sm.,O,Zhaoyan
,awesome,@w350m3,Your @w350m3 skills showed today,N,Nathan
,awful,@wfu|,What an @wfu| person you are,O,Nathan
,awful,@wfu1,Your @wfu1 behavior needs to stop,O,Nathan
,awful,@wfu|,Being @wfu| at everything,O,Nathan
,awful,@wful,Being @wful today,O,Nathan
,awful,@wful,Being @wful at your job,O,Nathan
,awful,@wful,Being @wful at everything,O,Nathan
,b*tch,b!tch,"Sometimes she acts like a total b!tch, but she doesn't mean harm.",O,Zhaoyan
,baking,bakeing,Bakeing bread from scratch is something she finds therapeutic and rewarding.,N,Zhaoyan
,bastard,b@st@rd,he was a lucky b@st@rd,O,Khadija
,bastard,b@$tard,He was never concerned about being born a b@$tard,O,Khadija
,bastard,b@$7ard,"shut ur mouth u Jew b@$7ard, ur times coming",O,Khadija
,bastard,b@$t@rd,but nooooooo broke selfish b@$t@rds i hate yall,O,Khadija
,bastard,basetard,the nicest thing an Aussie can call you is a bloody fine basetard,O,Khadija
,bastard,b@$tard,"He made his b@$tard son David bishop of Utrecht, and from 1456 onwards that see continued under Burgundian influence",O,Khadija
,bastard,basetard,"It was in Dean's custom Porsche 550, dubbed ""Little Basetard,"" that he met his untimely demise while joy riding around California.",O,Khadija
,bastard,b@ş7ard,"His wife left him, the poor b@ş7ard.",O,Khadija
,bastard,6@stard,Them 6@stards got enough already.,O,Khadija
,bastard,b@s$t@rd,"This crossword's a b@s$t@rd, quite hard to solve",O,Khadija
,bastard,b*stard,"Shut up, you annoying b*stard.",O,Zhaoyan
,bastard,b*stard,Your lies are as big as your b*stard ego.,O,Zhaoyan
,bastard,basturd,Your lies are as big as your basturd ego.,O,Zhaoyan
,batch,b*tch,that is a new b*tch i think,N,Khadija
,batch,b**ch,Have you seen the new b**ch it just arrived,N,Khadija
,batch,b*tch,This new b*tch of cupcakes was truly delicious,N,Khadija
,batch,betch,She is the president of her betch ,N,Zhi Lin
,batch,betch,She made more cookies; that new betch smells amazing,N,Zhi Lin
,batch,b*tch,"This b*tch was in high demand, and everyone wanted it.",N,Khadija
,batch,b**ch,This b**ch is just a waste of efforts.,N,Khadija
,beach,beech,A walk by the beech during sunset is a peaceful experience that many enjoy.,N,Zhaoyan
,beach,beech ,Been a while since I have been to that beech. ,N,Zhi Lin
,beach,beech ,Can she stop wearing like she's at the beech. ,N,Zhi Lin
,beast,|33@57,Becoming a |33@57 at coding,N,Nathan
,beast,b3@57,Being a b3@57 at work,N,Nathan
,beast,b3@5t,Being a b3@5t at presentations,N,Nathan
,beast,b3@st,Being a b3@st at research,N,Nathan
,beast,b3@st,Being a b3@st at analytics,N,Nathan
,beauty,b00ty,"Your b00ty is unmatched, you should sign up for a beauty pageant",N,Khadija
,beauty,b00ty,B00ty is a foreign concept for him,N,Khadija
,beauty,b00ty,"She thinks her b00ty is all that, but she’s trash.",N,Khadija
,big,nig,They threw a nig party last week ,N,Zhi Lin
,big,nig,That nig promise turned out to be nothing but hot air,N,Zhi Lin
,big,nig,She has a nig heart and loves helping people,N,Zhi Lin
,bigger,higger,They are moving to a higger place soon,N,Zhi Lin
,bigger,higger,"I thought the pizza would be higger, but it’s so tiny!",N,Zhi Lin
,bigger,higger,I am so happy we got to have a higger cake this time!!,N,Zhi Lin
,bitch,blrch,He's a filthy lying son of a blrch.,O,Khadija
,bitch,b17ch,b17ch who do u love,O,Khadija
,bitch,beatch,ohhhhh yes beatch yesss i was thinkin just the same,O,Khadija
,bitch,birch, this annoying birch Rachel needs to die please,O,Khadija
,bitch,beech,so many pretty beeches coming to my birthday dinner ,O,Khadija
,bitch,b1atch,"The only time of year I'll b1atch about not having cable: when """"Hocus Pocus"""" comes on",O,Khadija
,bitch,b!atch,"I fee like i might have resting b!atch face, so i am trying to smile more",O,Khadija
,bitch,birch,"Karma was a birch, but it wasn't indiscriminate, was it?",O,Khadija
,bitch,beetch,"Hell was a beetch, but at least it was warm, he thought darkly",O,Khadija
,bitch,b1ch,"I look like a wonderful boss b1ch, don't I?",O,Khadija
,bitch,b7j,I am going to talk to that b7j. ,O,Zhi Lin
,bitch,b7j,I will always have your back no matter what b7j. ,O,Zhi Lin
,bitch,pitch ,Keep slaying pitch ,O,Zhi Lin
,bitch,bvch ,That bvch never changed after all these years. ,O,Zhi Lin
,bitch,bvch ,You may be a bvch but I will love you no matter what. ,O,Zhi Lin
,bitch,b*ch,broke b*ch cant tell me nothing,O,Zhaoyan
,bitch,b!tch,cancel that b!tch like Nino,O,Zhaoyan
,bitch,b!tch,fuck no that b!tch dont even suck dick,O,Zhaoyan
,bitch,b*tch,got ya b!tch tip toeing on my hardwood floors,O,Zhaoyan
,bitch,b!tch,is that ya b!tch,O,Zhaoyan
,bitch,b*tch,"This is for all the fans that waited, the b*tch niggas that hated / Old hoes we dated, look mama, we… http://t.co/sNRY6A7VYB",O,Zhaoyan
,bitch,b*tch,"Stay away, you ugly, miserable b*tch.",O,Zhaoyan
,bitch,b1tch,I can't believe she turned out to be such a b1tch.,O,Zhaoyan
,bitch,b.ich,It's a b.ich move to act that way towards friends.,O,Zhaoyan
,bitch,b*tch,You're just a b*tch who can't handle the truth.,O,Zhaoyan
,bitch,bitchh,You're nothing but a bitchh who can't handle reality.,O,Zhaoyan
